"","date","development","nexus","name_of_project","project_status","project_budget","date_rec"
"91","2020","Ireland","GOVernance, human rights, democracy and rule of law","Enhancing Access to Justice through Customary Courts.00","Active",87687,"2020"
"92","2019","Sweden","GOVernance, human rights, democracy and rule of law","Promotion of access to information and protection of human rights during the Corona pandemic.00","Active",9798,"2019"
"93","2018","Sweden","GOVernance, human rights, democracy and rule of law","Women taking action to influence policy & secure rights through lobby, advocacy & strategic litigation.00","Active",26797,"2018"
"94","2019","Sweden","GOVernance, human rights, democracy and rule of law","Ground UP project.00","Active",34370,"2019"
"95","2018","Sweden","GOVernance, human rights, democracy and rule of law","Plan International Sweden programme Generation Change! July 2019-June 20Franciscan Missionary Sisters for Africa Youth Alive – Reducing Vulnerabilities","Active",579392,"2018"
"96","2018","Sweden","GOVernance, human rights, democracy and rule of law","OPC framework support 2016-2019.00","Active",233128,"2018"
"97","2019","Sweden","GOVernance, human rights, democracy and rule of law","Afrikagrupperna frame 2017-20Responding to Emergency Food Insecurity in Affected Communities in Zimbabwe (REACH)","Completed",961333,"2019"
"98","2019","Sweden","GOVernance, human rights, democracy and rule of law","Veritas/Firinne Trust – core support.00","Completed",1351295,"2019"
"99","2018","Sweden","GOVernance, human rights, democracy and rule of law","ZESN Voter Eduacation bridging funds.00","Completed",623949,"2018"
"100","2019","Sweden","GOVernance, human rights, democracy and rule of law","IM Swedish Development Partner, agreement 2019-20Communities attain optimal & resilient nutrition","Completed",1884860,"2019"
"101","2018","Sweden","GOVernance, human rights, democracy and rule of law","We Effect frame 2018-20Communities attain optimal & resilient nutrition","Completed",2362995,"2018"
"102","2019","Sweden","GOVernance, human rights, democracy and rule of law","ICLD- Capacitating Local Leaders in Zimbabwe.00","Completed",2643852,"2019"
"103","2019","Sweden","GOVernance, human rights, democracy and rule of law","OPC framework support 2016-2019.00","Completed",1588532,"2019"
"104","2019","Sweden","GOVernance, human rights, democracy and rule of law","Diakonia frame 2016-20Humanitarian Food Assistance to the moist food insecure people including urban population","Completed",740279,"2019"
"105","2019","Sweden","GOVernance, human rights, democracy and rule of law","Legal Resources Foundation 2016-2020: Access tó Justice Programme – Legal Resources Foundation.00","Completed",1057541,"2019"
"106","2018","Sweden","GOVernance, human rights, democracy and rule of law","UNRCO SDGs 2019-20Responding to Emergency Food Insecurity in Affected Communities in Zimbabwe (REACH)","Completed",2985776,"2018"
"107","2019","Sweden","GOVernance, human rights, democracy and rule of law","TI Z: Coalition Against Rampant Corruption II 2018 – 2021 – Coalition against Rampant Corruption II.00","Completed",2643852,"2019"
"108","2018","UK","GOVernance, human rights, democracy and rule of law","Internews media programme Zimbabwe.00","Active",2e+05,"2018"
"109","2018","UK","GOVernance, human rights, democracy and rule of law","FOJO/IMS ZimMediaResponding to Emergency Food Insecurity in Affected Communities in Zimbabwe (REACH)","Active",8000,"2018"
"110","2020","UK","GOVernance, human rights, democracy and rule of law","IOM Zimbabwe 2017 – 2020. Human Rights Monitoring, Protection and Promotion.00","Active",30000,"2020"
